start_date,end_data,period,number
"September 27, 2020","October 3, 2020",(Period1),"67,690"
"October 4, 2020","October 10, 2020",(Period2),"68,110"
"October 11, 2020","October 17, 2020",(Period3),"40,740"
"October 18, 2020","October 24, 2020",(Period4),"34,660"
"October 25, 2020","October 31, 2020",(Period5),"34,210"
"November 1, 2020","November 7, 2020",(Period6),"34,690"
"November 8, 2020","November 14, 2020",(Period7),"37,590"
"November 15, 2020","November 21, 2020",(Period8),"38,730"
"November 22, 2020","November 28, 2020",(Period9),"40,340"
"November 29, 2020","December 5, 2020",(Period10),"38,410"
"December 6, 2020","December 12, 2020",(Period11),"36,260"
"December 13, 2020","December 19, 2020",(Period12),"32,060"
"December 20, 2020","December 26, 2020",(Period13),"29,030"
"December 27, 2020","January 2, 2021",(Period14),"29,030"
"January 3, 2021","January 9, 2021",(Period15),"31,850"
"January 10, 2021","January 16, 2021",(Period16),"29,880"
"January 17, 2021","January 23, 2021",(Period17),"26,000"
"January 24, 2021","January 30, 2021",(Period18),"21,810"
"January 31, 2021","February 6, 2021",(Period19),"20,100"
"February 7, 2021","February 13, 2021",(Period20),"17,930"
"February 14, 2021","February 20, 2021",(Period21),"17,130"
"February 21, 2021","February 27, 2021",(Period22),"16,380"
"February 28, 2021","March 6, 2021",(Period23),"18,000"
"March 7, 2021","March 13, 2021",(Period24),"19,320"
"March 14, 2021","March 20, 2021",(Period25),"25,000"
"March 21, 2021","March 27, 2021",(Period26),"28,170"
"March 28, 2021","April 3, 2021",(Period27),"30,680"
"April 4, 2021","April 10, 2021",(Period28),"37,600"
"April 11, 2021","April 17, 2021",(Period29),"43,180"
"April 18, 2021","April 24, 2021",(Period30),"44,120"
"April 25, 2021","May 1, 2021",(Period31),"44,320"
"May 2, 2021","May 8, 2021",(Period32),"43,100"
"May 9, 2021","May 15, 2021",(Period33),"49,880"
"May 16, 2021","May 22, 2021",(Period34),"36,840"
"May 23, 2021","May 29, 2021",(Period35),"29,310"
"May 30, 2021","June 5, 2021",(Period36),"22,050"
"June 6, 2021","June 12, 2021",(Period37),"16,210"
"June 13, 2021","June 19, 2021",(Period38),"12,230"
"June 20, 2021","June 26, 2021",(Period39),"10,620"
"June 27, 2021","July 3, 2021",(Period40),"8,690"
"July 4, 2021","July 10, 2021",(Period41),"8,360"
"July 11, 2021","July 17, 2021",(Period42),"7,610"
"July 18, 2021","July 24, 2021",(Period43),"17,540"
"July 25, 2021","July 31, 2021",(Period44),"19,140"
"August 1, 2021","August 7, 2021",(Period45),"25,840"
"August 8, 2021","August 14, 2021",(Period46),"27,670"
"August 15, 2021","August 21, 2021",(Period47),"21,020"
"August 22, 2021","August 28, 2021",(Period48),"20,920"
"August 29, 2021","September 4, 2021",(Period49),"21,660"
"September 5, 2021","September 11, 2021",(Period50),"21,170"
"September 12, 2021","September 18, 2021",(Period51),"20,870"
"September 19, 2021","September 25, 2021",(Period52),"20,960"
"September 26, 2021","October 2, 2021",(Period53),"21,160"
"October 3, 2021","October 9, 2021",(Period54),"19,410"
"October 10, 2021","October 16, 2021",(Period55),"31,210"
"October 17, 2021","October 23, 2021",(Period56),"30,170"
"October 24, 2021","October 30, 2021",(Period57),"61,890"
"October 31, 2021","November 6, 2021",(Period58),"61,740"
"November 7, 2021","November 13, 2021",(Period59),"45,290"
"November 14, 2021","November 20, 2021",(Period60),"38,440"
"November 21, 2021","November 27, 2021",(Period61),"14,370"
"November 28, 2021","December 4, 2021",(Period62),"17,810"
"December 5, 2021","December 11, 2021",(Period63),"20,970"
"December 12, 2021","December 18, 2021",(Period64),"28,610"
"December 19, 2021","December 25, 2021",(Period65),"41,940"
"December 26, 2021","January 1, 2022",(Period66),"66,290"
"January 2, 2022","January 8, 2022",(Period67),"85,320"
"January 9, 2022","January 15, 2022",(Period68),"67,340"
