date,Application Number,New Case of Covid-19
2020/3/24 0:00,,4704
2020/3/25 0:00,,5624
2020/3/26 0:00,,6340
2020/3/27 0:00,,7370
2020/3/28 0:00,,8108
2020/3/29 0:00,,9574
2020/3/30 0:00,,10692
2020/3/31 0:00,,11512
2020/4/1 0:00,,12408
2020/4/2 0:00,,14480
2020/4/3 0:00,,15696
2020/4/4 0:00,,16958
2020/4/5 0:00,,18508
2020/4/6 0:00,,18460
2020/4/7 0:00,,18698
2020/4/8 0:00,,19352
2020/4/9 0:00,,18964
2020/4/10 0:00,,19222
2020/4/11 0:00,,18826
2020/4/12 0:00,,17742
2020/4/13 0:00,,18026
2020/4/14 0:00,,18332
2020/4/15 0:00,,18182
2020/4/16 0:00,,18654
2020/4/17 0:00,,19472
2020/4/18 0:00,,20072
2020/4/19 0:00,,20804
2020/4/20 0:00,,22300
2020/4/21 0:00,,22716
2020/4/22 0:00,,23620
2020/4/23 0:00,,24036
2020/4/24 0:00,,24008
2020/4/25 0:00,,24002
2020/4/26 0:00,,24220
2020/4/27 0:00,,23340
2020/4/28 0:00,,23210
2020/4/29 0:00,,22814
2020/4/30 0:00,,22251
2020/5/1 0:00,,22345
2020/5/2 0:00,,22719
2020/5/3 0:00,,25157
2020/5/4 0:00,,24544
2020/5/5 0:00,,24040
2020/5/6 0:00,,23796
2020/5/7 0:00,,23371
2020/5/8 0:00,,22745
2020/5/9 0:00,,21975
2020/5/10 0:00,,18747
2020/5/11 0:00,,18416
2020/5/12 0:00,,18218
2020/5/13 0:00,,17562
2020/5/14 0:00,,17132
2020/5/15 0:00,,16360
2020/5/16 0:00,,16326
2020/5/17 0:00,,16310
2020/5/18 0:00,,16184
2020/5/19 0:00,,15914
2020/5/20 0:00,,15694
2020/5/21 0:00,,15674
2020/5/22 0:00,,15734
2020/5/23 0:00,,15514
2020/5/24 0:00,,15394
2020/5/25 0:00,,15278
2020/5/26 0:00,,15070
2020/5/27 0:00,,14792
2020/5/28 0:00,,14376
2020/5/29 0:00,,13876
2020/5/30 0:00,,13138
2020/5/31 0:00,,12496
2020/6/1 0:00,,11988
2020/6/2 0:00,,11526
2020/6/3 0:00,,11132
2020/6/4 0:00,,10428
2020/6/5 0:00,,9834
2020/6/6 0:00,,9734
2020/6/7 0:00,,9504
2020/6/8 0:00,,9078
2020/6/9 0:00,,8486
2020/6/10 0:00,,8080
2020/6/11 0:00,,7608
2020/6/12 0:00,,7216
2020/6/13 0:00,,6706
2020/6/14 0:00,,6176
2020/6/15 0:00,,5806
2020/6/16 0:00,,5628
2020/6/17 0:00,,5456
2020/6/18 0:00,,5380
2020/6/19 0:00,,5372
2020/6/20 0:00,,5218
2020/6/21 0:00,,5100
2020/6/22 0:00,,4980
2020/6/23 0:00,,4992
2020/6/24 0:00,,4778
2020/6/25 0:00,,4804
2020/6/26 0:00,,4330
2020/6/27 0:00,,4026
2020/6/28 0:00,,3826
2020/6/29 0:00,,4562
2020/6/30 0:00,,4482
2020/7/1 0:00,,3924
