start_date,end_data,period,number
2020/09/27,2020/10/03,Period 1,67690
2020/10/04,2020/10/10,Period 2,68110
2020/10/11,2020/10/17,Period 3,40740
2020/10/18,2020/10/24,Period 4,34660
2020/10/25,2020/10/31,Period 5,34210
2020/11/01,2020/11/07,Period 6,34690
2020/11/08,2020/11/14,Period 7,37590
2020/11/15,2020/11/21,Period 8,38730
2020/11/22,2020/11/28,Period 9,40340
2020/11/29,2020/12/05,Period 10,38410
2020/12/06,2020/12/12,Period 11,36260
2020/12/13,2020/12/19,Period 12,32060
2020/12/20,2020/12/26,Period 13,29030
2020/12/27,2021/01/02,Period 14,29030
2021/01/03,2021/01/09,Period 15,31850
2021/01/10,2021/01/16,Period 16,29880
2021/01/17,2021/01/23,Period 17,26000
2021/01/24,2021/01/30,Period 18,21810
2021/01/31,2021/02/06,Period 19,20100
2021/02/07,2021/02/13,Period 20,17930
2021/02/14,2021/02/20,Period 21,17130
2021/02/21,2021/02/27,Period 22,16380
2021/02/28,2021/03/06,Period 23,18000
2021/03/07,2021/03/13,Period 24,19320
2021/03/14,2021/03/20,Period 25,25000
2021/03/21,2021/03/27,Period 26,28170
2021/03/28,2021/04/03,Period 27,30680
2021/04/04,2021/04/10,Period 28,37600
2021/04/11,2021/04/17,Period 29,43180
2021/04/18,2021/04/24,Period 30,44120
2021/04/25,2021/05/01,Period 31,44320
2021/05/02,2021/05/08,Period 32,43100
2021/05/09,2021/05/15,Period 33,49880
2021/05/16,2021/05/22,Period 34,36840
2021/05/23,2021/05/29,Period 35,29310
2021/05/30,2021/06/05,Period 36,22050
2021/06/06,2021/06/12,Period 37,16210
2021/06/13,2021/06/19,Period 38,12230
2021/06/20,2021/06/26,Period 39,10620
2021/06/27,2021/07/03,Period 40,8690
2021/07/04,2021/07/10,Period 41,8360
2021/07/11,2021/07/17,Period 42,7610
2021/07/18,2021/07/24,Period 43,17540
2021/07/25,2021/07/31,Period 44,19140
2021/08/01,2021/08/07,Period 45,25840
2021/08/08,2021/08/14,Period 46,27670
2021/08/15,2021/08/21,Period 47,21020
2021/08/22,2021/08/28,Period 48,20920
2021/08/29,2021/09/04,Period 49,21660
2021/09/05,2021/09/11,Period 50,21170
2021/09/12,2021/09/18,Period 51,20870
2021/09/19,2021/09/25,Period 52,20960
2021/09/26,2021/10/02,Period 53,21160
2021/10/03,2021/10/09,Period 54,19410
2021/10/10,2021/10/16,Period 55,31210
2021/10/17,2021/10/23,Period 56,30170
2021/10/24,2021/10/30,Period 57,61890
2021/10/31,2021/11/06,Period 58,61740
2021/11/07,2021/11/13,Period 59,45290
2021/11/14,2021/11/20,Period 60,38440
2021/11/21,2021/11/27,Period 61,14370
2021/11/28,2021/12/04,Period 62,17810
2021/12/05,2021/12/11,Period 63,20970
2021/12/12,2021/12/18,Period 64,28610
2021/12/19,2021/12/25,Period 65,41940
2021/12/26,2022/01/01,Period 66,66290
2022/01/02,2022/01/08,Period 67,85320
2022/01/09,2022/01/15,Period 68,67340
