"Gross domestic product (GDP) at basic prices, by industry, monthly (x 1,000,000) 1 2"
"Frequency: Monthly"
"Table: 36-10-0434-01 (formerly CANSIM 379-0031)"
"Release date: 2022-02-01"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2012) dollars 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2012 constant prices 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference period","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"January 2020","2,004,924","578,411","1,423,680","1,652,644","352,698","396,527","89,923","103,056","101,954","183,062","389,492","382,240","13,979","1,996,902","8,955","2,000,382","41,521","156,567","42,830","147,849","192,986","104,849","100,651","88,116","69,327","141,503","256,963","125,301","4,640","52,608","105,380","141,381","15,815","43,614","38,867","135,431","2,013,431","586,999","1,426,432","1,659,811","353,620","403,152","89,615","104,203","100,853","185,543","396,265","382,525","14,291","2,004,659","8,772","2,009,242","42,349","159,788","42,659","148,385","193,818","105,140","100,493","88,631","69,460","141,769","257,196","125,500","4,738","52,523","105,440","141,373","15,834","43,609","39,014","135,712"
"February 2020","2,009,783","581,516","1,425,585","1,657,440","352,794","398,865","90,124","104,304","101,720","184,554","391,807","382,656","14,100","2,001,611","9,073","2,005,213","41,697","157,190","43,007","148,484","194,420","105,294","101,123","87,383","69,288","142,294","257,763","125,936","4,515","52,463","104,895","141,860","15,760","43,047","38,952","135,826","2,020,395","591,513","1,428,882","1,666,605","353,790","406,794","89,738","105,519","100,733","187,969","399,864","383,019","14,443","2,011,514","8,881","2,016,242","42,653","161,816","42,791","148,996","195,257","105,113","101,167","88,233","69,521","142,513","257,953","126,261","4,638","52,412","104,988","141,909","15,890","43,046","39,116","136,122"
"March 2020","1,861,251","552,482","1,307,399","1,531,636","329,823","373,994","86,478","90,698","98,618","178,378","367,400","353,717","12,002","1,853,262","9,031","1,856,819","41,780","151,737","42,386","143,512","177,299","98,263","89,565","76,184","65,865","138,911","253,772","112,342","4,162","44,289","95,331","129,502","10,782","27,920","33,572","128,757","1,874,987","562,685","1,312,302","1,544,241","330,746","382,358","86,127","91,118","97,870","182,141","375,885","354,028","12,292","1,866,142","8,845","1,870,872","42,735","156,346","42,294","144,065","177,245","98,371","89,544","76,107","66,275","139,604","254,153","112,996","4,144","44,427","95,582","129,489","10,804","28,001","33,848","128,957"
"April 2020","1,658,387","473,122","1,182,477","1,345,930","311,476","321,952","75,225","65,715","98,021","170,186","315,802","326,399","9,492","1,650,665","8,948","1,654,142","41,428","138,830","41,875","116,960","141,230","80,588","71,327","60,033","63,228","140,472","245,108","109,838","3,791","37,804","86,208","114,327","6,534","15,850","24,314","125,710","1,674,121","486,268","1,187,853","1,361,808","312,313","332,953","74,963","66,235","97,200","173,514","326,990","326,915","9,704","1,665,365","8,756","1,670,054","42,429","144,134","41,658","116,849","141,198","80,678","72,018","58,954","63,621","140,842","246,369","109,939","3,798","37,869","86,682","114,091","6,504","15,763","24,583","126,142"
"May 2020","1,733,389","507,964","1,223,588","1,413,309","319,465","338,573","79,145","75,941","98,420","166,090","332,330","335,576","9,487","1,725,567","9,005","1,729,097","42,252","139,498","41,891","133,490","155,296","85,615","84,986","60,927","63,502","140,815","248,294","111,537","3,741","38,873","92,207","117,147","6,318","19,155","27,113","126,220","1,745,911","518,837","1,227,074","1,425,440","320,471","347,719","78,979","76,339","97,513","169,014","341,637","336,105","9,683","1,737,092","8,819","1,741,890","43,145","144,689","41,630","134,055","155,318","85,140","85,390","59,828","63,799","141,081","248,999","111,606","3,710","38,789","92,603","116,759","6,284","18,912","27,431","126,743"
"June 2020","1,833,539","534,445","1,296,932","1,507,680","326,018","354,598","82,686","90,865","99,130","161,168","347,943","350,251","10,235","1,825,474","9,272","1,829,174","43,055","132,225","42,254","143,186","173,612","99,560","100,048","65,817","64,454","142,380","254,497","114,662","3,683","43,071","94,059","127,606","6,622","24,779","29,849","128,450","1,844,745","544,005","1,300,740","1,517,749","326,996","362,126","82,505","91,871","98,279","164,162","355,637","350,854","10,464","1,835,660","9,085","1,840,770","43,932","139,224","42,037","144,436","174,376","99,488","100,251","64,933","64,790","142,886","254,431","115,112","3,687","43,012","94,416","127,517","6,621","24,575","30,100","128,921"
"July 2020","1,881,318","543,372","1,335,326","1,545,567","335,855","366,311","86,315","95,101","100,352","160,917","359,609","362,854","10,967","1,873,253","9,259","1,876,944","43,329","134,243","43,270","140,749","181,472","104,763","99,852","68,657","65,240","143,380","259,270","117,458","3,586","43,950","98,301","133,610","7,654","28,812","32,086","130,829","1,892,306","552,773","1,339,533","1,555,588","336,718","373,279","86,739","96,467","99,542","163,485","366,701","363,410","11,212","1,883,241","9,065","1,888,385","44,193","140,485","43,010","141,879","183,206","105,139","100,405","67,832","65,650","144,184","258,404","118,277","3,582","43,968","98,545","133,604","7,676","28,730","32,276","131,261"
"August 2020","1,899,027","544,410","1,351,642","1,558,680","340,374","366,223","85,828","98,096","101,314","156,455","359,512","367,400","12,200","1,891,035","9,183","1,894,620","43,496","131,867","42,353","141,638","183,926","105,255","99,794","68,191","66,419","144,223","260,786","119,638","3,513","45,730","100,743","134,955","8,261","31,223","33,275","131,641","1,908,940","552,792","1,356,148","1,567,621","341,319","372,244","86,577","99,869","100,494","159,411","365,642","368,046","12,489","1,899,958","8,982","1,905,058","44,391","137,252","41,944","142,759","186,446","105,788","100,366","67,372","66,871","145,100","259,805","120,505","3,512","45,802","100,942","135,039","8,318","31,226","33,437","132,065"
"September 2020","1,916,771","549,722","1,364,059","1,573,237","343,608","371,773","87,720","98,024","100,988","161,414","365,039","370,838","12,392","1,908,941","9,009","1,912,328","43,443","137,836","41,292","141,639","185,783","105,269","102,788","69,018","66,569","144,621","262,021","121,342","3,461","46,584","101,673","136,089","8,371","31,300","33,923","133,017","1,926,662","558,368","1,368,294","1,582,207","344,455","378,139","88,003","99,384","100,236","164,500","371,503","371,431","12,674","1,917,863","8,799","1,922,819","44,237","143,139","40,977","142,628","187,387","106,039","103,264","68,202","66,994","145,516","260,926","122,105","3,455","46,613","101,839","136,172","8,408","31,242","34,099","133,420"
