Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
Newfoundland and Labrador,Males,,,Persons,,,,,,,,,,,
,,15 years and over,2019,19.6,1.6,17.1,11.3,0.9,9.4,1,5.8,1.8,2.4,1.6,1
,,,2020,22.7,3.4,18.6,13.4,0.7,11.2,1.5,5.3,1.8,1.7,1.7,0.7
,,,2021,20.9,1.2,18.8,12.8,0.7,8.8,3.3,6,2.5,1.9,1.6,0.9
,,15 to 24 years,2019,3.6,x,3.4,1.1,x,0.8,x,2.3,x,1.7,x,x
,,,2020,3.8,x,3.3,1.5,x,1.3,x,1.8,x,1.5,x,x
,,,2021,3.5,x,3.3,1.1,x,0.8,x,2.2,x,1.4,x,x
,,25 years and over,2019,16.1,1.5,13.6,10.2,0.6,8.6,0.9,3.5,1.5,0.7,1.2,0.9
,,,2020,18.9,3.1,15.3,11.9,0.6,9.9,1.4,3.4,1.7,x,1.5,0.5
,,,2021,17.5,1.1,15.5,11.7,0.6,8,3.2,3.8,2.1,x,1.3,0.8
,,25 to 54 years,2019,10.1,1,8.4,6,x,5.1,0.5,2.4,1,0.7,0.8,0.7
,,,2020,11.8,2.1,9.4,7.5,x,6.5,0.7,1.9,1.1,x,0.7,x
,,,2021,10.7,0.7,9.3,7.1,x,4.9,1.7,2.3,1.1,x,0.8,0.6
,,55 years and over,2019,6,0.5,5.2,4.2,x,3.5,x,1.1,0.5,x,0.5,x
,,,2020,7.1,1,5.9,4.4,x,3.4,0.6,1.5,0.6,x,0.9,x
,,,2021,6.8,x,6.2,4.6,x,3,1.5,1.6,1,x,0.5,x
,,55 to 64 years,2019,4.7,x,4,3.2,x,2.7,x,0.9,x,x,x,x
,,,2020,5.9,0.9,4.7,3.6,x,2.8,0.5,1.1,0.5,x,0.6,x
,,,2021,5.4,x,4.9,3.8,x,2.6,1.1,1.1,0.7,x,x,x
,,65 years and over,2019,1.3,x,1.2,1,x,0.8,x,x,x,x,x,x
,,,2020,1.3,x,1.2,0.8,x,0.6,x,x,x,x,x,x
,,,2021,1.4,x,1.3,0.9,x,x,x,0.5,x,x,x,x
,Females,15 years and over,2019,12.1,0.7,10.7,5.8,x,4.5,0.8,4.9,2.6,1.5,0.8,0.8
,,,2020,12.3,2.1,9.8,5.2,0.7,3.6,0.8,4.6,2.3,1.6,0.7,x
,,,2021,11.7,0.6,10.2,5.5,0.7,3.5,1.3,4.7,2.2,1.8,0.8,0.9
,,15 to 24 years,2019,2.7,x,2.6,0.8,x,0.5,x,1.8,x,1.3,x,x
,,,2020,2.5,x,2,0.6,x,x,x,1.4,x,1.2,x,x
,,,2021,2.3,x,2,0.6,x,x,x,1.5,x,1.3,x,x
,,25 years and over,2019,9.4,0.6,8.1,5.1,x,4,0.7,3.1,2.3,x,0.6,0.7
,,,2020,9.8,1.7,7.7,4.6,0.6,3.3,0.7,3.2,2.3,x,0.6,x
,,,2021,9.4,0.5,8.1,4.9,0.5,3.2,1.2,3.3,2,0.5,0.7,0.7
,,25 to 54 years,2019,6.5,x,5.7,3.4,x,2.6,0.6,2.3,1.6,x,0.5,x
,,,2020,6.6,1.2,5.3,3,0.5,2.1,x,2.3,1.7,x,x,x
,,,2021,6,x,5.3,2.9,x,1.9,0.8,2.3,1.5,x,x,x
,,55 years and over,2019,3,x,2.4,1.7,x,1.4,x,0.8,0.6,x,x,x
,,,2020,3.1,0.5,2.5,1.6,x,1.1,x,0.9,0.6,x,x,x
,,,2021,3.4,x,2.9,1.9,x,1.2,x,0.9,0.6,x,x,x
,,55 to 64 years,2019,2.7,x,2.2,1.5,x,1.3,x,0.6,0.5,x,x,x
,,,2020,2.7,0.5,2,1.3,x,0.9,x,0.7,0.6,x,x,x
,,,2021,3,x,2.5,1.7,x,1.1,x,0.8,0.5,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.5,x,x,x,x,x,x,x,x,x,x,x
,,,2021,x,x,x,x,x,x,x,x,x,x,x,x
Prince Edward Island,Males,15 years and over,2019,4.8,0.2,4.2,3,0.3,2.4,0.3,1.2,0.5,0.4,0.3,0.4
,,,2020,4.6,0.6,3.7,2.3,0.2,1.9,0.2,1.4,0.4,0.7,0.3,0.3
,,,2021,4.8,0.2,4.3,2.8,0.2,2.2,0.4,1.5,0.5,0.7,0.3,0.3
,,15 to 24 years,2019,1,x,0.9,0.5,x,0.4,x,0.5,x,0.3,x,x
,,,2020,1.2,0.2,1,0.4,x,0.3,x,0.7,x,0.5,x,x
,,,2021,1.1,x,1,0.4,x,0.3,x,0.6,x,0.5,x,x
,,25 years and over,2019,3.8,0.2,3.3,2.6,0.2,2.1,0.2,0.7,0.4,x,0.2,0.3
,,,2020,3.4,0.4,2.7,2,0.2,1.6,x,0.7,0.3,x,0.2,0.3
,,,2021,3.7,0.2,3.3,2.4,0.2,1.9,0.4,0.9,0.4,0.2,0.2,0.2
,,25 to 54 years,2019,2.4,0.2,2,1.5,0.2,1.2,x,0.5,0.3,x,x,0.2
,,,2020,2.4,0.3,1.9,1.3,0.2,1.1,x,0.6,0.3,x,x,0.2
,,,2021,2.4,0.2,2.2,1.4,x,1.1,0.2,0.7,0.4,0.2,x,x
,,55 years and over,2019,1.5,x,1.3,1.1,x,0.9,x,0.2,x,x,x,x
,,,2020,1,x,0.8,0.7,x,0.5,x,x,x,x,x,x
,,,2021,1.3,x,1.2,1,x,0.8,x,0.2,x,x,x,x
,,55 to 64 years,2019,1.1,x,0.9,0.7,x,0.6,x,0.2,x,x,x,x
,,,2020,0.7,x,0.6,0.5,x,0.4,x,x,x,x,x,x
,,,2021,0.9,x,0.7,0.6,x,0.5,x,x,x,x,x,x
,,65 years and over,2019,0.4,x,0.4,0.3,x,0.3,x,x,x,x,x,x
,,,2020,0.3,x,0.2,0.2,x,0.2,x,x,x,x,x,x
,,,2021,0.4,x,0.4,0.4,x,0.3,x,x,x,x,x,x
,Females,15 years and over,2019,2.7,x,2.3,1.5,0.2,1.1,x,0.9,0.4,0.3,0.2,0.3
,,,2020,4.3,0.8,3.2,1.8,x,1.5,x,1.4,0.6,0.6,0.2,0.3
,,,2021,3.2,x,2.9,1.6,0.2,1.2,0.2,1.3,0.5,0.5,0.3,0.2
,,15 to 24 years,2019,0.5,x,0.4,x,x,x,x,0.3,x,0.2,x,x
,,,2020,1,0.2,0.8,0.2,x,x,x,0.6,x,0.5,x,x
,,,2021,0.8,x,0.7,0.2,x,x,x,0.5,x,0.4,x,x
,,25 years and over,2019,2.3,x,1.9,1.4,0.2,1.1,x,0.6,0.4,x,x,0.2
,,,2020,3.3,0.7,2.4,1.6,x,1.4,x,0.8,0.5,x,0.2,0.2
,,,2021,2.4,x,2.2,1.4,x,1,0.2,0.8,0.5,x,0.2,x
,,25 to 54 years,2019,1.5,x,1.3,0.8,x,0.6,x,0.4,0.3,x,x,x
,,,2020,2.4,0.5,1.7,1,x,0.9,x,0.7,0.5,x,x,0.2
,,,2021,1.6,x,1.4,0.8,x,0.7,x,0.6,0.4,x,x,x
,,55 years and over,2019,0.8,x,0.7,0.5,x,0.4,x,x,x,x,x,x
,,,2020,0.9,0.2,0.7,0.6,x,0.5,x,x,x,x,x,x
,,,2021,0.9,x,0.8,0.5,x,0.3,x,0.2,x,x,x,x
,,55 to 64 years,2019,0.7,x,0.5,0.4,x,0.3,x,x,x,x,x,x
,,,2020,0.7,x,0.5,0.4,x,0.4,x,x,x,x,x,x
,,,2021,0.6,x,0.6,0.4,x,0.3,x,0.2,x,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.3,x,0.2,x,x,x,x,x,x,x,x,x
,,,2021,0.2,x,0.2,x,x,x,x,x,x,x,x,x
Nova Scotia,Males,15 years and over,2019,21.4,1.3,19,12,2,8.3,1.7,7,2.2,3.3,1.6,1
,,,2020,26,5.2,19.9,11.2,1.4,8.4,1.4,8.7,2.2,4.7,1.8,1
,,,2021,24.2,1.9,21.4,12.6,1.3,7.7,3.7,8.8,3,3.6,2.2,1
