Labour force characteristics,Sex,Age group,Reference period,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia
Population 4 5,Both sexes,15 years and over,2019,"30,694.70",445.8,130.3,806,642.7,"7,000.60","12,050.70","1,040.20",883.8,"3,454.40","4,240.50"
Population 4 6,Both sexes,15 years and over,2020,"31,052.60",445.6,132.4,814.1,646.9,"7,053.50","12,217.70","1,047.80",888,"3,507.00","4,299.70"
Population 4 7,Both sexes,15 years and over,2021,"31,326.10",445.3,134.3,821.3,650.7,"7,098.90","12,340.90","1,051.60",889.6,"3,543.70","4,349.70"
Population 4 5,Both sexes,15 to 24 years,2019,"4,482.80",55.4,20.1,110.4,82.2,914.4,"1,872.40",170,134.2,518,605.8
Population 4 5,Both sexes,15 to 24 years,2020,"4,480.60",55.2,20.7,109.8,82.2,909.7,"1,870.60",169.3,134.6,522.8,605.8
Population 4 5,Both sexes,15 to 24 years,2021,"4,455.80",54.8,20.9,108.9,82.2,906,"1,856.70",167.6,134.4,523.8,600.6
Population 4 5,Both sexes,25 years and over,2019,"26,211.90",390.4,110.1,695.6,560.5,"6,086.10","10,178.30",870.2,749.5,"2,936.40","3,634.70"
Population 4 6,Both sexes,25 years and over,2020,"26,572.00",390.4,111.8,704.3,564.7,"6,143.80","10,347.10",878.5,753.5,"2,984.20","3,693.90"
Population 4 7,Both sexes,25 years and over,2021,"26,870.20",390.5,113.4,712.4,568.6,"6,192.90","10,484.30",884,755.2,"3,019.90","3,749.20"
Population 4 5,Both sexes,25 to 44 years,2019,"9,977.60",119,37,225.7,175.3,"2,214.80","3,881.70",350.1,305.1,"1,308.80","1,360.00"
Population 4 5,Both sexes,25 to 44 years,2020,"10,125.40",117,37.9,229.9,176.1,"2,227.70","3,970.80",353.2,305.6,"1,320.10","1,387.30"
Population 4 5,Both sexes,25 to 44 years,2021,"10,217.90",115.3,38.7,233.2,176.3,"2,232.40","4,032.90",354,304,"1,321.60","1,409.50"
Population 4 5,Both sexes,45 to 64 years,2019,"9,955.20",162.4,43.6,276.8,227.4,"2,311.40","3,889.40",319.8,272.8,"1,075.60","1,376.00"
Population 4 6,Both sexes,45 to 64 years,2020,"9,928.50",160.3,43.4,274.3,225.1,"2,300.00","3,884.10",318.5,270.2,"1,081.90","1,370.70"
Population 4 7,Both sexes,45 to 64 years,2021,"9,894.20",158.1,43.1,272.1,223.1,"2,287.10","3,873.00",317.2,267.8,"1,086.40","1,366.20"
Population 4 5,Both sexes,45 years and over,2019,"16,234.30",271.4,73.1,469.9,385.2,"3,871.30","6,296.60",520.1,444.4,"1,627.60","2,274.70"
Population 4 5,Both sexes,45 years and over,2020,"16,446.60",273.4,73.9,474.4,388.6,"3,916.10","6,376.40",525.3,447.8,"1,664.10","2,306.60"
Population 4 5,Both sexes,45 years and over,2021,"16,652.30",275.2,74.7,479.3,392.2,"3,960.50","6,451.40",530,451.2,"1,698.30","2,339.70"
Population 4 5,Both sexes,25 to 54 years,2019,"14,772.40",196.3,57.7,351.2,280.4,"3,288.60","5,788.60",505,432.3,"1,850.60","2,021.70"
Population 4 5,Both sexes,25 to 54 years,2020,"14,857.40",192.3,58.2,352.5,278.9,"3,286.70","5,846.00",506.6,431.3,"1,864.30","2,040.60"
Population 4 5,Both sexes,25 to 54 years,2021,"14,916.70",188.7,58.9,354,277.8,"3,284.90","5,885.60",507.1,429.5,"1,871.80","2,058.50"
Population 4 5,Both sexes,55 years and over,2019,"11,439.50",194.1,52.5,344.5,280.1,"2,797.50","4,389.70",365.2,317.3,"1,085.80","1,613.00"
Population 4 5,Both sexes,55 years and over,2020,"11,714.60",198,53.6,351.8,285.8,"2,857.10","4,501.10",371.9,322.1,"1,119.80","1,653.30"
Population 4 5,Both sexes,55 years and over,2021,"11,953.50",201.7,54.5,358.4,290.8,"2,908.10","4,598.70",376.9,325.7,"1,148.10","1,690.70"
Population 4 6,Both sexes,15 to 64 years,2019,"24,415.60",336.8,100.8,612.9,484.9,"5,440.60","9,643.50",839.9,712.2,"2,902.40","3,341.80"
Population 4 7,Both sexes,15 to 64 years,2020,"24,534.50",332.5,101.9,614,483.4,"5,437.40","9,725.50",840.9,710.4,"2,924.70","3,363.80"
Population 4 5,Both sexes,15 to 64 years,2021,"24,567.90",328.2,102.7,614.2,481.6,"5,425.50","9,762.60",838.8,706.2,"2,931.90","3,376.30"
Population 4 5,Both sexes,15 to 19 years,2019,"2,063.30",27,9.1,50.2,40.3,418.8,851.9,80.7,65,248.2,272.1
Population 4 5,Both sexes,15 to 19 years,2020,"2,054.80",26.7,9.2,49.7,40,419.9,845.5,79.2,65,250.9,268.6
Population 4 5,Both sexes,15 to 19 years,2021,"2,057.30",26.5,9.3,49.5,40.1,424.4,843.3,78.2,65.4,253.8,266.8
